ЭКР 2102КФ, МИНИКА 1102МКФ
«–» под знаком «ОШ»;Неверные действия оператора
ИЗМЕНЕН ФОРМАТ ФЛЕШ;Неверный формат памяти (требуется произвести форматирование памяти)
ИСТЁК ПЕРИОД ПОПЫТ. РЕГ. В СЕТИ;От станции сотового оператора не получен сигнал о подключении к сети
ККТ ЗАРЕГИСТРИРОВАНА;Попытка выполнить операцию, которая требует, чтобы ККМ была не зарегистрирована
ККТ НЕ ЗАРЕГИСТРИРОВАНА;Попытка выполнить операцию, которая требует, чтобы ККМ была зарегистрирована
КРИТИЧЕСКАЯ ОШИБКА ЭЖ!;Критическая ошибка электронного журнала ККМ. Необходимо произвести сброс журнала
МОДЕМ НЕИСПРАВЕН;Неисправен модем A2 M66
НЕ УДАЛОСЬ ОТПРАВИТЬ SMS;Не удалось отправить SMS на номер абонента
НЕВЕРНЫЙ ФОРМАТ НОМЕРА;При отправке SMS введён не 11-значный абонентский номер
НЕДОПУСТИМАЯ ОПЕРАЦИЯ!;Неверные действия оператора в кассовом режиме
НЕДОПУСТИМОЕ ЗНАЧЕНИЕ!;Общая ошибка в кассовом режиме и режиме программирования. Возникает, если введена недопустимая величина
НЕДОПУСТИМОЕ КОЛИЧЕСТВО!;Введено недопустимое количество товара
НЕПОДДЕРЖИВАЕМЫЙ ТИП МОДЕМА;В качестве модема A2 установлен не модем M66
НЕТ БУМАГИ;Нет бумаги в принтере, или неисправен датчик бумаги или его сигнальные цепи
НЕТ ЗАВ. НОМЕРА!;Заводской номер ККМ не запрограммирован
НИЗКИЙ УРОВЕНЬ СИГНАЛА;Низкий уровень сигнала от станции сотового оператора
ОТКАЗ РЕГИСТР. В СЕТИ;Оператор сети GSM/GPRS выдал отказ в подключении к сети
ОШИБКА CRC ФН;Ошибка контрольной суммы команды, полученной от ФН
ОШИБКА FAT ДИСКА;Ошибка файловой таблицы диска
ОШИБКА ДАТЫ ВРЕМЕНИ ФН;Попытка отправить в ФН неверную дату/время
ОШИБКА ДИНАМИЧЕСКОЙ ПАМЯТИ;Ошибка ОЗУ (возможно, требуется перезагрузка ККМ)
ОШИБКА КАНАЛА ПЕРЕДАЧИ ДАННЫХ;Ошибка ОЗУ, или не запрограммирован канал передачи данных
ОШИБКА НАСТРОЕК GPRS;Неверная контрольная сумма настроек GPRS во flash-памяти
ОШИБКА НАСТРОЕК WIFI;Неверная контрольная сумма настроек WiFi во flash-памяти
ОШИБКА НАСТРОЙКИ СЕРВЕРА ОФД;Неверная контрольная сумма настроек сервера ОФД во flash-памяти
ОШИБКА ОТПРАВКИ ДАННЫХ НА СЕРВЕР;Разрыв связи с сервером при попытке отправки данных
ОШИБКА ПАРАМЕТРОВ ФН;Ошибка ОЗУ или попытка отправить команду в ФН с неверными параметрами
ОШИБКА ПИТАНИЯ МОДЕМА;Нет ответного сигнала о включении питания модема
ОШИБКА ПОДКЛ. К СЕРВЕРУ;Ошибка установления связи с сервером. Возможно, неправильно запрограммированы настройки ОФД
ОШИБКА ПОЛУЧ. ОТВЕТА ОТ СЕРВ.;Ответ от сервера на команду не получен. Возможно, имеются неполадки на сервере ОФД
ОШИБКА ПРИ РАБОТЕ С USB;Ошибка при работе с USB-устройством или при подключении к ПЭВМ через USB
ОШИБКА ПРИНТЕРА;Принтер не подключён, или неисправны цепи разъёма XS2 или микросхема управления DD2
ОШИБКА ПРОТОКОЛА СЕРВЕРА;Ошибка структуры данных при приёме данных от сервера. Возможно, имеются неполадки на сервере ОФД
ОШИБКА СТАТУСА ФН;Ошибка ОЗУ или попытка отправить в ФН команду, не выполнимую в текущем состоянии ФН
ОШИБКА СТЕКА TCP/IP;Ошибка ОЗУ или модемов при работе с сокетами
ОШИБКА ФН;ФН на команду запроса вернул ошибку. Описание конкретной ошибки должно быть на чековой ленте, а также при распечатке статуса ФН в меню
ОШИБКА ФОРМАТА ФН;Получены данные от ФН, не соответствующие формату
ОШИБКА ЧТЕНИЯ ЗАПИСИ НА ДИСК;Ошибка чтения/записи на диск
ПЕРЕГРЕВ ПРИНТЕРА;Температура термоголовки принтера выше 80°
ПРОВЕРКА ФЛЕШ: ОШИБКА ФОРМАТА!;Неверный формат памяти (требуется произвести форматирование памяти)
ПРОВЕРКА ФЛЕШ: ФЛЕШ НЕИСПРАВНА!;Неисправна микросхема памяти DD3 AT45DBxxx или цепи сигналов и питания
ПРОД. СМЕНЫ БОЛЕЕ 24 ЧАСА;Продолжительность смены более 24 часов (необходимо закрыть смену)
СЕРВЕР РАЗОРВАЛ СОЕДИНЕНИЕ;Сервер разорвал соединение при обмене данными. Возможно, имеются неполадки на сервере ОФД
СИСТЕМНЫЕ ОПЦИИ ПОВРЕЖДЕНЫ!;Неверная контрольная сумма системных опций во flash-памяти
СМЕНА ЗАКРЫТА;Попытка выполнить операцию, которая требует, чтобы смена была открыта
СМЕНА ОТКРЫТА;Попытка выполнить операцию, которая требует, чтобы смена была закрыта
ТОВАР ЗАБЛОКИРОВАН;Установлена блокировка на товар
ТОВАР НЕ НАЙДЕН!;Товар не найден в базе по введённому коду или штрих-коду
ТРЕБУЕТСЯ ЗАКРЫТЬ СМЕНУ;Электронный журнал переполнен. Необходимо закрытие смены
ФАЙЛ НА ДИСКЕ НЕ НАЙДЕН;Файл на диске не найден
ФИО ОПЕРАТОРА НЕ ЗАПРОГРАМИР.;Не запрограммированы данные учётной записи оператора, по которой была произведена авторизация
ФЛЕШ: ОШ.ЧТ/ЗАП;Неисправна микросхема памяти DD3 AT45DBxxx или цепи сигналов и питания
ФН НЕ НАСТРОЕН;ФН находится в фазе «настройка»
ФН НЕИСПРАВЕН;ФН не подключён или неисправен
ХОД ЧАСОВ НЕВЕРНЫЙ;Неисправны внутренние часы процессора или часовой кварц ZQ2
Орион 100Ф
Нет кода, звуковой сигнал;Неверное действие кассира (нажать клавишу [С] для продолжения)
±;Переполнение чека (превышение 100 регистраций по чеку) или переполнение счётчиков, либо отрицательный результат
00 (дисплей);Ошибка ПО
01 (дисплей);Ошибка ПЗУ
03 (дисплей);Нет бумаги, либо бумага заправлена неправильно (например, проходит над датчиком обрыва ленты), либо не прижат рычаг. Следует правильно заправить бумагу и нажать клавишу [Пр. итог] для продолжения
04 (дисплей);Аккумулятор разряжен
05 (дисплей);Перегрев принтера
06 (дисплей);Авария или отсутствие блока обмена с ОФД
–1 (чек);Ошибка обмена с ФН
–2 (чек);Неверное состояние ФН (возможно, требуется открытие или закрытие смены)
–3 (чек);Ошибка ФН
–4 (чек);Ошибка КС ФН
–5 (чек);Истёк срок эксплуатации ФН
–6 (чек);ФН переполнен
–7 (чек);Неверная дата/время ФН
–8 (чек);В ФН нет запрошенных данных
–18 (чек);Исчерпан ресурс КС ФН
–20 (чек);Исчерпан ресурс хранения фискальных документов в ФН (требуется отправка ОФД)
–21 (чек);Превышено время ожидания передачи документов из ФН (требуется отправка ОФД)
–22 (чек);Смена длиннее 24 часов
–23 (чек);Неверный период между операциями (несоответствие даты и времени в ККМ и ФН)
–32 (чек);ФН отклонил квитанцию
–33 (чек);Квитанция с неверным ФП
–34 (чек);Квитанция с неверным форматом
–35 (чек);Квитанция с неверным номером ФД
–36 (чек);Квитанция с неверным номером ФН
–37 (чек);Квитанция с неверной КС
–67 (чек);Нет USB-диска для сохранения
–68 (чек);Журнал почти заполнен
–69 (чек);Журнал заполнен
–70 (чек);Журнал испорчен
–72 (чек);Сервер ОФД не ответил
–73 (чек);Обмен с ОФД заблокирован (ФН работает в автономном режиме)
–74 (чек);Сбой при передаче документа
–75 (чек);Ответ сервера искажён
–76 (чек);Нет соединения с сервером
–78 (чек);Расходная операция в ЕГАИС (неверный подрежим кассового режима)
–79 (чек);Неправильный IP
–81 (чек);Превышен лимит позиций (100)
–82 (чек);Ошибка передачи чека в УТМ
–83 (чек);Отчёт о регистрации ещё не передан ОФД
–84 (чек);Сбой ПО
–85 (чек);ФН уже закрыт
–86 (чек);Ошибка в данных о регистрации
–87 (чек);Обнаружено расхождение ИНН в ККМ и ФН
–88 (чек);В ККМ нет данных о регистрации
–89 (чек);ККМ уже зарегистрирована
–90 (чек);ФН уже зарегистрирован
–91 (чек);РН ККМ некорректен (не соответствует ЗН и/или ИНН)
–92 (чек);Операция невозможна при наличии непереданных документов
–93 (чек);Операция невозможна при закрытой смене
–94 (чек);Операция невозможна при открытой смене
–95 (чек);Неверная дата или время
–96 (чек);Неверно задана система налогообложения
–97 (чек);Неверная причина перерегистрации
–98 (чек);Неверно задан режим работы ККМ
–99 (чек);Неверный тип регистрации ККМ
–100 (чек);Обобщённая логическая ошибка
–101 (чек);Ошибка протокола
–102 (чек);Ошибка связи с ФН
–103 (чек);Ошибка протокола
–104 (чек);Товар отсутствует в базе
–105 (чек);Дубликат штрих-кода EAN-13 в базе товаров
–106 (чек);Доступно только в сервисном режиме
–107 (чек);Отсутствует серийный номер
–108 (чек);Ошибка серийного номера
–109 (чек);Ошибка регистрации
–110 (чек);Сбой модуля связи
–111 (чек);Область данных пуста (неисправность блока обмена с ОФД)
–112 (чек);Ошибка ПЗУ
–113 (чек);ФН не обнаружен
–114 (чек);ФН не соответствует ККМ
–115 (чек);ФН ещё не зарегистрирован после замены
–116 (чек);ФН заблокирован (критическая ошибка)
–117 (чек);Чек не открыт
–118 (чек);Ошибка настройки налогов
–119 (чек);Переполнение накопительного регистра
–120 (чек);Обрыв связи с ОФД
–121 (чек);Проблема сети передачи данных
–122 (чек);USB-диск не обнаружен
–123 (чек);Файл настроек не найден
–124 (чек);Ошибка файла настроек
–125 (чек);Ошибка формата файла настроек
0 (тест ФН);Нет ошибок
1 (тест ФН);Срочная замена КС (осталось 3 дня)
2 (тест ФН);Исчерпание ресурса КС (осталось 30 дней)
3 (тест ФН);Переполнение памяти ФН (заполнен на 90%)
4 (тест ФН);Превышено время ожидания ответа ОФД
5 (тест ФН);Критическая ошибка ФН
АТОЛ (ФР)
19;Неверный формат
20;Неверная длина
21;ККМ заблокирована в режиме ввода даты
22;Требуется подтверждение ввода даты
24;Нет больше данных для передачи ПО ККМ
26;Отчёт с гашением прерван, вход в режим невозможен
30;Вход в режим заблокирован
31;Проверьте дату и время
32;Дата и время в ККТ меньше, чем в ФН
33;Невозможно закрыть архив
63;Переполнение буфера чека
70;Неверная команда от ККТ
102;Команда не реализуется в данном режиме ККТ
103;Нет бумаги
104;Нет связи с принтером чеков
105;Механическая ошибка печатающего устройства
106;Неверный тип чека
108;Неверный номер регистра
109;Недопустимое целевое устройство
110;Нет места в массиве картинок
111;Неверный номер картинки или картинка отсутствует
114;Сумма платежей меньше суммы чека
117;Переполнение суммы платежей.
122;Данная модель ККМ не может выполнить команду
123;Неверная величина скидки/надбавки
125;Неверная секция
126;Неверный вид оплаты
127;Переполнение при умножении
128;Операция запрещена в таблице настроек
129;Переполнение итога чека
130;Открыт чек аннулирования – операция невозможна
132;Переполнение буфера контрольной ленты
134;Вносимая клиентом сумма меньше суммы чека
135;Открыт чек возврата – операция невозможна
136;Смена превысила 24 часа
137;Открыт чек продажи – операция невозможна
140;Неверный пароль
143;Обнуленная касса (повторное гашение невозможно)
145;Неверный номер таблицы
146;Неверный номер ряда
147;Неверный номер поля
148;Неверная дата
149;Неверное время
151;Подсчет суммы сдачи невозможен
152;В ККМ нет денег для выплаты
154;Чек закрыт – операция невозможна
155;Чек открыт – операция невозможна
156;Смена открыта – операция невозможна
157;ККМ заблокирована, ждёт ввода пароля доступа
158;Заводской номер уже задан
162;Неверная смена
163;Неверный тип отчёта
164;Недопустимый пароль
165;Недопустимый заводской номер ККТ
166;Недопустимый РН
167;Недопустимый ИНН
168;ККТ не фискализирована.
169;Не задан заводской номер
174;Некорректный код или номер кода защиты ККТ
176;Требуется выполнение общего гашения
177;Команда не разрешена введёнными кодами защиты ККТ
190;Необходимо провести профилактические работы
200;Нет устройства, обрабатывающего данную команду
201;Нет связи с внешним устройством
202;Ошибочное состояние ТРК
204;Ошибочный номер ТРК
205;Неверный делитель
209;Перегрев головки принтера
210;Ошибка обмена с ФН на уровне интерфейса
211;Ошибка формата передачи ФН
212;Неверное состояние ФН (возможно, ККТ не была зарегистрирована)
213;Неисправимая ошибка ФН
214;Ошибка контрольной суммы ФН
215;Закончен срок эксплуатации ФН
216;Архив ФН переполнен
217;В ФН переданы неверная дата и время
218;В ФН нет запрошенных данных
219;Переполнение итога чека
220;Буфер переполнен
225;Неверный номер ФН
231;Некорректное значение параметров команды ФН
232;Превышение размеров данных ФН, передаваемых в формате TLV
233;Нет транспортного соединения с ФН
234;Исчерпан ресурс криптографического сопроцессора ФН (требуется плановая замена)
235;Исчерпан ресурс хранения ФН (требуется отправка фискальных документов)
236;Сообщение от ОФД не может быть принято ФН (требуется проверить параметры ОФД в ККТ)
237;В ФН есть неотправленные фискальные документы
238;Возврат этого кода означает, что можно получить расширенные сведения об ошибке командой чтения регистра 55
АТОЛ 90Ф
Е000-008;Неверная цена/сумма чека
Е000-010;Неверное количество
Е000-017;Неверный код товара
Е000-103;Нет бумаги
Е000-127;Переполнение при умножении
Е000-129;Переполнение итога чека
Е000-134;Вносимая клиентом сумма меньше суммы чека
Е000-136;Смена превысила 24 часа
Е000-151;Подсчет суммы сдачи невозможен
Е000-152;В ККМ недостаточно денег для выплаты
Е000-153;Смена закрыта, операция невозможна
Е000-154;Чек закрыт, операция невозможна
Е000-156;Смена открыта, операция невозможна
Е000-170;В ФН нет данных
Е000-191;Ошибка ПО
Е000-210;Ошибка связи ФН, или ФН отсутствует
Е000-211;Некорректный формат команды или параметров ФН
Е000-212;Некорректное состояние ФН
Е000-215;Исчерпан временной ресурс ФН
Е000-216;ФН переполнен
Е000-217;Неверные дата и время, переданные в ФН
Е000-218;Нет запрошенных данных в ФН
Е000-219;Переполнение итога документа ФН
Е000-221;Номер смены в ФН и ККМ не совпадает
Е000-222;ФН не фискализирован
Е000-223;ФН уже фискализирован
E000-226;ФН зарегистрирован в составе другой ККМ
Е000-255;Неверное состояние ККМ
Е130-005;В часах неверное время
Е130-007;Нет ФН
Е130-017;Низкое напряжение аккумулятора
Е130-024;Таблицы не инициализированы
Е130-025;Регистры не инициализированы
Е130-026;Нет связи с принтером (принтер отсутствует)
Е130-027;Механическая ошибка принтера
Е130-029;Недостаточно питания
E134-000;Неверное значение параметра
E134-008;Неверный тип чека
Е134-017;Несуществующая строка в таблице
E134-018;Несуществующее поле
Е134-019;Неверный номер смены
Е134-020;Неверная дата
Е134-021;Недопустимая длина
E134-022;Переполнение буфера при работе с TLV структурами
Е134-023;Неверное время
Е134-026;Дата и время в ККМ меньше, чем в ФН
Е134-032;Неверное значение числа BCD
Е134-033;Реквизит не инициализирован
Е135-006;Требуется отправка документов в ОФД (неверное состояние ККМ)
Е143-003;ККМ не зарегистрирована
Е143-233;Регистрация невозможна (неверное состояние ККМ)
Е144-001;Лимит регистраций исчерпан
Е144-002;Неправильный пароль перерегистрации
Е144-003;Лимит фискализаций исчерпан
Е144-006;Недопустимый ИНН
Е144-007;Фискализация данного ФН в составе данной ККМ невозможна
Е144-008;Недопустимый регистрационный номер ККМ
Е144-009;Недопустимая дата
Е144-010;Неверный номер смены
Е144-012;Лимит смен исчерпан
Е144-255;ККМ не зарегистрирована (при попытке фискализации ФН)
E145-020;Неверная длина
Е146-018;Закончен срок эксплуатации ФН
E146-020;Ресурс для хранения документов для ОФД исчерпан
Е146-034;Сообщение от ОФД не может быть принято
Е146-035;Сообщение от ОФД не может быть принято (неверная контрольная сумма)
E146-040;Ошибка интерфейса ФН
Е146-048;Нет ФН в ККМ
Е147-129;Ошибка интерфейса I2C при обмене с ФН
E163-000;Неверные данные товара
E163-019;Неверный формат записи о товаре
Е163-020;Исчерпан ресурс ФН
Е163-026;Отчет с гашением прерван, вход в режим невозможен
E163-030;Вход в режим заблокирован
E163-032;Журнал по реализованным товарам переполнен
Е163-102;Не задан реквизит и номер реквизита
Е163-106;Неверный тип чека
Е163-122;Закончен срок эксплуатации ФН
Е163-124;Операция после скидки/надбавки невозможна
E163-125;Неверная секция и/или неверный тип налога
E163-126;Неверный тип оплаты
Е163-130;Вход в режим заблокирован
Е163-159;Исчерпан лимит перерегистраций
Е163-163;Недопустимый заводской номер ККМ
E163-167;Недопустимый ИНН/РНН
Е163-169;Заводской номер не введён
Е163-177;Неверный код защиты
Е163-178;Невозможна отмена скидки/надбавки/налога
Е163-179;Невозможно закрыть чек данным типом оплаты (присутствуют операции без контроля наличности)
Е163-190;Нужна профилактика, обратитесь в сервисную службу
Е163-224;Начисление налога на последнюю операцию невозможно
E163-238;Не указано основание для коррекции и/или тип коррекции
Е164-001;Нет связи с УТМ АТОЛ
Е164-002;Буфер чека в УТМ АТОЛ сброшен
Е164-003;Повтор ШК PDF-417
Е164-004;Оформление отменено в УТМ АТОЛ
Е164-005;Закрытие чека отменено в УТМ АТОЛ
Е164-006;Аннулирование чека отменено в УТМ АТОЛ
Е164-009;Истёк таймаут ожидания
Е164-010;Аварийный возврат отменён в УТМ
Е165-257;Недопустимо более одной регистрации в чеке коррекции
Е165-258;Недопустимо передавать более 10 регистраций с кодом товарной номенклатуры в автономном режиме
Е165-259;Некорректная система налогообложения
Е165-260;Недопустимый номер ставки налога
Е165-261;Недопустимый тип оплаты товара
Е165-262;Недопустимый тип кода товара
Е165-263;Некорректная стоимость позиции
Е165-264;При передаче налога на единицу запрещены скидки на позицию
Е165-265;При передаче скидки для печати запрещена регистрация скидки
E165-266;Система налогообложения позиции товара в открытом чеке отлична от СНО предыдущих позиций данного чека
Е165-513;Реквизит уже был записан в чеке, повтор запрещён
Е165-514;Программирование реквизитов запрещено в данном режиме работы ФН (ФН отсутствует, или закрыт архив)
Е165-515;Данный реквизит недопустимо перепрограммировать для перерегистрации
Е165-516;Недопустимое изменение состояния реквизита
Е165-517;Недопустимое сочетание реквизитов
Е165-518;Не задан необходимый реквизит для совершения операции
Е165-519;Невозможно записать данные в буфер позиции (не была подана команда EAh)
Е165-520;Невозможно записать реквизит чека, начато формирование позиции (не была подана команда EAh)
Е165-521;Невозможно запрограммировать реквизит, он уже напечатан
Е165-769;Печать фискального отчёта прервана, необходим повтор команды печати
АМС 100Ф
Е –;Получена отрицательная сумма (нет наличности для выполнения данной операции)
Е 24;Длительность смены превысила 24 часа. Необходимо закрыть смену
Е Fn;Нет связи с фискальным накопителем
Е Fn02;Неверное состояние ФН (данная команда требует другого состояния ФН)
Е Fn03;Критическая ошибка ФН
Е Fn04;Ошибка криптографического сопроцессора
Е Fn05;Закончен срок эксплуатации ФН
Е Fn06;Архив ФН переполнен
Е Fn07;Неверные дата и/или время в ФН
Е Fn08;В ФН нет запрошенных данных
Е Fn09;Параметры команды имеют правильный формат, но их значение не верно
Е Fn10;Размер передаваемых данных превысил допустимый
Е Fn11;Транспортное соединение с ОФД отсутствует
Е Fn12;Исчерпан ресурс криптографического сопроцессора. Требуется закрытие фискального режима
Е Fn14;Ресурс хранения документов для ОФД исчерпан. Требуется отправка документов
Е Fn15;Время ожидания отправки документов в ОФД превысило 30 суток. Требуется отправка документов
Е Fn16;Продолжительность смены превысила 24 часа
Е Fn17;Время в ФН более чем на 5 минут отличается от времени в ККМ
Е SYS;Испорчен системный файл конфигурации на SD-карте
Е ЕП;Попытка выполнить операцию, недопустимую при открытой смене
Е ЗПЧ;Не ответил сервер УТМ
Е НП;Попытка выполнить операцию, недопустимую при закрытой смене (например, закрыть смену)
Е ОГР;Превышена разрядность введённой суммы
Е ОПРОС;ККМ не получила ответ от сервера при работе в режиме on-line
Е ПУ;Отсутствует бумага (необходимо заправить чековую ленту и нажать [ВВ])
НЕСПР 1;Ошибка записи в EEPROM
НЕСПР 2;Ошибка чтения из EEPROM
НЕСПР 3;Ошибка записи в часовую микросхему
НЕСПР 4;Ошибка чтения из часовой микросхемы
ПС;В норме отображается при загрузке ККМ. Если машина после включения долго не выходит из этого состояния, значит, отсутствует связь с МИ-01 или отсутствует SD-карта
Элвес-МФ
8;Неверная цена (сумма)
10;Неверное количество
11;Превышение ограничения суммы операции в секции
14;Невозможен повтор последней операции
17;Неверный код товара
18;Штрих-код не найден
40;Ошибка подключения к точке доступа WiFi
44;Ошибка подключения к серверу
46;Ошибка передачи (отправки) данных по TCP/IP
47;Сервер разорвал соединение
48;Ошибка приёма данных по TCP/IP
49;Ошибка длины при приёме данных по TCP/IP
65;Абонентский номер покупателя (клиента) уже задан
95;Ошибка системы налогообложения
96;Ошибка режима работы ФН
97;Ошибка признака систем налогообложения
98;В ФН нет данных открытого документа
99;Операция отменена
101;Ошибка типа открытого документа (при попытке закрыть кассовый чек в ФН открыт документ другого типа)
102;Неверный режим
103;Нет бумаги
106;Ошибка ИНН кассира
107;Ошибка ИНН ОФД
108;Ошибка ИНН пользователя
112;Документ в ФН закрыт
113;Ошибка повторной печати документа
114;Нулевая сумма чека
115;Накопление меньше суммы возврата
119;В ФН не установлен флаг готовности данных для передачи в ОФД
120;В ФН нет данных для передачи в ОФД
127;Переполнение при умножении
128;Операция запрещена в таблице настроек
129;Переполнение итога чека
132;Переполнение буфера чека
133;Переполнение денежных регистров
134;Вносимая клиентом сумма меньше суммы чека
136;Смена превысила 24 часа
151;Подсчёт суммы сдачи невозможен
152;В ККМ нет денег для выплаты
153;Смена закрыта, операция невозможна
154;Чек закрыт, операция невозможна
155;Чек открыт, операция невозможна
156;Смена открыта, операция невозможна
166;Ошибка регистрационного номера ККТ
167;Ошибка заводского номера ККТ
185;Нет прав доступа к режиму (операции)
186;Ошибка контрольной суммы ПО загрузчика
187;Неверная фаза жизни ФН
191;Ошибка ПО
192;Ошибка внутренней памяти (ОЗУ) микроконтроллера
193;Сбой ПО (переполнение стека)
194;Недостаточно памяти РПЗУ
195;Память ККМ не инициализирована
196;Ошибка обмена с РПЗУ
197;Ошибка обмена с часами
198;Ошибка шины I2C (шина занята)
199;Часы стоят (нет импульсов от кварцевого резонатора)
201;Нет связи
205;Ошибка восстановления состояния после сбоя (выключения питания)
210;Ошибка связи с ФН, или ФН отсутствует
211;Некорректный формат команды или параметров ФН
212;Некорректное состояние ФН
213;Ошибка ФН
214;Авария криптопроцессора ФН
215;Исчерпан временной ресурс ФН
216;Переполнение архива ФН
217;Неверные дата или время, переданные в ФН
218;Нет запрошенных данных в ФН
219;Некорректное значение параметров команды ФН
220;Неизвестная ошибка
229;Исчерпан ресурс ключа шифрования ФН
236;Ошибка при приёме штрих-кода
238;Нет связи с контроллером интерфейсной платы
240;Продолжительность смены более 24 часов
242;Превышение размеров данных TLV
243;Нет транспортного соединения с ОФД
244;Исчерпан ресурс хранения
246;Исчерпан ресурс ожидания передачи сообщения
247;Неверная разница во времени между двумя операциями
249;Сообщение не может быть принято
252;Неизвестная ошибка ФН
255;Клавиша не поддерживается в данном режиме работы ККТ
Меркурий 115К
EL НЕНОР;ЭКЛЗ не подключена или неисправна
Err 003;Неисправность таймера
Err 006;Неисправна или неотформатирована DATA FLASH
Err 007;Нарушение структуры данных
Err 008;Сбой ОЗУ таймера
Err 009;Ошибка при восстановлении после аварийного отключения
Err 010;Нет запрограммированной даты
Err 011;Неверная дата
Err 025;Переполнение буфера чеков
Err 026;Неверная операция
Err 027;Операция прервана
Err 028;Ошибка ввода
Err 029;Попытка продажи товара по коду в режиме 0 или возврат по коду
Err 030;Выплата или возврат: запрошенной суммы нет в наличии
Err 032;Критическая ошибка буферов чека
Err 036;Переполнение регистра
Err 037;Попытка продажи в закрытую секцию
Err 038;Несовпадение типов секции и операции
Err 040;Товар в базе заблокирован
Err 041;Попытка продажи дробной части штучного товара по базе
